,地市,公司,0,1,2,3,4,5,6,7,8,9
204,衢州市,惠多利农资有限公司,0,,,,,,,,,
205,曲靖市,云南煤化工集团有限公司???,,,,,,,,,,
206,三明市,中化化肥有限公司???,,,,,,,,,,
207,厦门市,富利香港有限公司,,,,,,,,,,
208,商丘市,史丹利农业集团股份有限公司,,1,1,,,,,,,
209,商丘市,湖北鄂中生态工程股份有限公司,1,,0,,,,,,,
210,商丘市,成都云图控股股份有限公司,1,0,,,,,,,,
211,上海市,宜兴申利化工有限公司,,0,,,,,,,,
212,上海市,富利香港有限公司,0,,,,,,,,,
213,深圳市,深圳市芭田生态工程股份有限公司,,,,,,,,,,
214,沈阳市,深圳市芭田生态工程股份有限公司,,0,0,0,0,,,,,
215,沈阳市,庆丰农业生产资料集团有限责任公司,0,,0,0,0,,,,,
216,沈阳市,辽宁华锦化工（集团）有限责任公司,0,0,,0,0,,,,,
217,沈阳市,辽宁东亚种业有限公司,0,0,0,,0,,,,,
218,沈阳市,抚顺绿叶复合肥有限公司,0,0,0,0,,,,,,
219,十堰市,湖北兴发化工集团股份有限公司,,,,,,,,,,
220,石家庄市,中农集团控股股份有限公司,,1,3,,,,,,,
221,石家庄市,云南云天化股份有限公司,1,,0,0,,,,,,
222,石家庄市,阳煤化工股份有限公司,3,0,,1,,,,,,
223,石家庄市,山西晋城无烟煤矿业集团有限责任公司,,0,1,,,,,,,
224,双鸭山市,香港米高实业有限公司,,,,,,,,,,
225,朔州市,天脊煤化工集团股份有限公司,,,,,,,,,,
226,四平市,青岛市平度天盛复合肥实业公司,,,,,,,,,,
227,松原市,中化化肥有限公司?,,1,0,,,,,,,
228,松原市,云南云天化股份有限公司,1,,0,,,,,,,
229,松原市,辽宁东亚种业有限公司,0,0,,,,,,,,
230,绥化市,瓮福（集团）有限责任公司,,0,0,0,,,,,,
231,绥化市,江苏晋煤恒盛化工股份有限公司,0,,0,0,,,,,,
232,绥化市,黑龙江省大龙生态肥股份有限公司,0,0,,1,,,,,,
233,绥化市,黑龙江倍丰农业生产资料集团有限公司,0,0,1,,,,,,,
234,随州市,中盐安徽红四方股份有限公司??,,,,,,,,,,
235,遂宁市,四川美丰化工股份有限公司,,,,,,,,,,
236,泰安市,山西晋城无烟煤矿业集团有限责任公司???,,,,,,,,,,
237,泰州市,惠多利农资有限公司,,,,,,,,,,
238,唐山市,中农集团控股股份有限公司,,0,,,,,,,,
239,唐山市,山西晋城无烟煤矿业集团有限责任公司,0,,3,,,,,,,
240,唐山市,庆丰农业生产资料集团有限责任公司,,3,,,,,,,,
241,天津市,香港米高实业有限公司,,2,,,,,,,,
242,天津市,富利香港有限公司,2,,,,,,,,,
243,铁岭市,四川宏达实业有限公司,,0,0,1,,,,,,
244,铁岭市,辽宁津大盛源肥业集团有限公司,0,,0,0,,,,,,
245,铁岭市,金正大生态工程集团股份有限公司,0,0,,2,,,,,,
246,铁岭市,成都云图控股股份有限公司,1,0,2,,,,,,,
247,铜陵市,安徽六国化工股份有限公司,,,,,,,,,,
248,潍坊市,潍坊昌大肥料有限公司,,,,,,,,,,
249,渭南市,江苏阿波罗复合肥有限公司???,,,,,,,,,,
250,乌海市,湖北宜化化工股份有限公司,,,,,,,,,,
251,无锡市,江苏阿波罗复合肥有限公司???,,0,,,,,,,,
252,无锡市,惠多利农资有限公司,0,,,,,,,,,
253,武汉市,中化化肥有限公司?,,0,0,0,0,,,,,
254,武汉市,中国石油化工集团公司???,0,,0,0,0,,,,,
255,武汉市,江苏中东集团有限公司,0,0,,0,0,,,,,
256,武汉市,湖北三宁化工股份有限公司,0,0,0,,0,,,,,
257,武汉市,迪斯科化工集团股份有限公司,0,0,0,0,,,,,,
258,西宁市,青海盐湖工业股份有限公司,,0,,,,,,,,
259,西宁市,湖北宜化化工股份有限公司,0,,,,,,,,,
260,襄樊市,湖北兴发化工集团股份有限公司,,0,,,,,,,,
261,襄樊市,湖北祥云（集团）化工股份有限公司,0,,,,,,,,,
262,襄阳市,湖北兴发化工集团股份有限公司,,,,,,,,,,
263,孝感市,成都云图控股股份有限公司,,,,,,,,,,
264,忻州市,中国化工集团公司,,,,,,,,,,
265,新乡市,烟台市农业生产资料总公司,,0,,,,,,,,
266,新乡市,湖北兴发化工集团股份有限公司,0,,,,,,,,,
267,宿迁市,南京恒康肥业有限公司,,0,0,,,,,,,
268,宿迁市,江苏中东集团有限公司,0,,0,,,,,,,
269,宿迁市,江苏绿陵化工集团有限公司,0,0,,,,,,,,
270,宿州市,安徽六国化工股份有限公司,,,,,,,,,,
271,徐州市,深圳市芭田生态工程股份有限公司,,0,0,,,,,,,
272,徐州市,山西晋城无烟煤矿业集团有限责任公司,0,,0,,,,,,,
273,徐州市,江苏晋煤恒盛化工股份有限公司,0,0,,,,,,,,
274,宣城市,惠多利农资有限公司,,0,,,,,,,,
275,宣城市,安徽省宁国司尔特化肥有限公司???,0,,,,,,,,,
276,烟台市,中农集团控股股份有限公司,,1,,,,,,,,
277,烟台市,中化化肥有限公司?,1,,,,,,,,,
278,盐城市,山西晋城无烟煤矿业集团有限责任公司,,,,,,,,,,
279,宜宾市,双赢集团有限公司,,,,,,,,,,
280,宜昌市,香港景裕发展有限公司,,0,0,0,0,0,1,0,1,0
281,宜昌市,史丹利农业集团股份有限公司,0,,0,0,0,0,1,0,1,0
282,宜昌市,山西晋城无烟煤矿业集团有限责任公司,0,0,,0,0,0,1,0,0,1
283,宜昌市,江苏阿波罗复合肥有限公司???,0,0,0,,0,0,0,0,0,0
284,宜昌市,湖北宜化集团有限责任公司,0,0,0,0,,0,0,0,0,0
285,宜昌市,湖北兴发化工集团股份有限公司,0,0,0,0,0,,0,0,0,0
286,宜昌市,湖北新洋丰肥业股份有限公司,1,1,1,0,0,0,,0,0,0
287,宜昌市,湖北三宁化工股份有限公司,0,0,0,0,0,0,0,,0,0
288,宜昌市,湖北鄂中生态工程股份有限公司???,1,1,0,0,0,0,0,0,,0
289,宜昌市,安徽六国化工股份有限公司,0,0,1,0,0,0,0,0,0,
